name_id	profession
nm0502090	writer
nm0054045	writer
nm0340599	writer
nm0340599	script_department
nm0340599	director
nm0402559	miscellaneous
nm0402559	actress
nm0402559	writer
nm0784407	producer
nm0784407	actor
nm0784407	director
nm0832974	writer
nm0832974	director
nm0401429	writer
nm0722425	writer
nm0400912	writer
nm0400912	director
nm0400912	actor
nm0504443	writer
nm0504443	miscellaneous
nm0896826	director
nm0896826	writer
nm0651000	writer
nm0651000	script_department
nm0129721	writer
nm0129721	editor
nm0129721	editorial_department
nm0385012	writer
nm0385012	editor
nm0385012	editorial_department
nm0235590	writer
nm0235590	director
nm0235590	editor
nm0147800	writer
nm0147800	director
nm0147800	soundtrack
nm0828436	writer
nm0828436	soundtrack
nm0828436	director
nm0471341	writer
nm0471341	actor
nm0471341	producer
nm0500284	writer
nm0500284	miscellaneous
nm0500284	soundtrack
nm0258493	writer
nm0258493	producer
nm0448981	writer
nm0448981	script_department
nm0448981	miscellaneous
nm0564610	writer
nm0564610	miscellaneous
nm0564610	soundtrack
nm0002021	writer
nm0002021	soundtrack
nm0002021	actor
nm0760488	writer
nm0760488	producer
nm0641045	director
nm0641045	writer
nm0641045	actress
nm0491504	director
nm0491504	actor
nm0491504	writer
nm0416861	writer
nm0416861	director
nm0416861	producer
nm0020571	writer
nm0020571	actor
nm0343823	writer
nm0826452	writer
nm0826452	director
nm0826452	music_department
nm0552552	writer
nm0773660	writer
nm0773660	producer
nm0250797	writer
nm0250797	miscellaneous
nm0250797	actor
nm0343275	director
nm0343275	writer
nm0343275	cinematographer
nm0432807	actor
nm0432807	writer
nm0432807	miscellaneous
nm0421043	art_department
nm0421043	writer
nm0421043	animation_department
nm0040596	writer
nm0040596	script_department
nm0040596	miscellaneous
nm0371725	writer
nm0371725	miscellaneous
nm0371725	producer
nm0778880	actor
nm0778880	writer
nm0778880	producer
nm0911599	producer
nm0911599	writer
nm0911599	director
nm0877720	writer
nm0877720	miscellaneous
nm0877720	script_department
nm0122560	writer
nm0122560	producer
nm0122560	miscellaneous
nm0188209	writer
nm0188209	miscellaneous
nm0450774	writer
nm0618603	writer
nm0618603	actor
nm0618603	soundtrack
nm0000040	director
nm0000040	writer
nm0000040	producer
nm0364805	producer
nm0364805	writer
nm0364805	director
nm0161476	writer
nm0161476	miscellaneous
nm0161476	soundtrack
nm0938445	writer
nm0938445	miscellaneous
nm0938445	producer
nm0398466	actor
nm0398466	writer
nm0398466	producer
nm0763436	writer
nm0763436	director
nm0648505	writer
nm0156966	director
nm0156966	writer
nm0156966	actor
nm0274659	writer
nm0274659	director
nm0274659	actor
nm0044156	writer
nm0044156	actor
nm0558239	writer
nm0396884	director
nm0396884	writer
nm0396884	actor
nm0463521	writer
nm0463521	soundtrack
nm0463618	writer
nm0918844	producer
nm0918844	miscellaneous
nm0918844	director
nm0891554	writer
nm0891554	director
nm0891554	producer
nm0000697	writer
nm0000697	director
nm0000697	producer
nm0224634	writer
nm0224634	producer
nm0224634	soundtrack
nm0002005	writer
nm0002005	camera_department
nm0191725	writer
nm0191725	producer
nm0191725	actress
nm0295134	writer
nm0136180	writer
nm0136180	producer
nm0720601	writer
nm0720601	producer
nm0825829	writer
nm0825829	producer
nm0825829	director
nm0587999	writer
nm0587999	assistant_director
nm0587999	producer
nm0004798	writer
nm0004798	producer
nm0004798	actor
nm0638258	producer
nm0638258	writer
nm0638258	actor
nm0185805	producer
nm0185805	writer
nm0185805	miscellaneous
nm0339264	producer
nm0339264	writer
nm0339264	director
nm0584495	writer
nm0894594	writer
nm0745241	miscellaneous
nm0745241	writer
nm0745241	producer
nm0920114	writer
nm0920114	production_manager
nm0920114	producer
nm0294067	actress
nm0294067	writer
nm0294067	producer
nm0674065	actress
nm0674065	writer
nm0674065	producer
nm0766837	actress
nm0766837	writer
nm0766837	soundtrack
nm0047658	director
nm0047658	producer
nm0047658	writer
nm0207076	writer
nm0207076	script_department
nm0470004	writer
nm0896902	composer
nm0896902	actor
nm0896902	music_department
nm0229569	writer
nm0229569	actor
nm0229569	director
nm0586280	cinematographer
nm0586280	actor
nm0586280	writer
nm0850601	producer
nm0850601	director
nm0850601	miscellaneous
nm0052209	writer
nm0052209	producer
nm0558953	writer
nm0558953	producer
nm0558953	miscellaneous
nm0644309	director
nm0644309	writer
nm0644309	producer
nm0131064	stunts
nm0131064	actor
nm0131064	miscellaneous
nm0696376	writer
nm0696376	director
nm0696376	producer
nm0776433	writer
nm0776433	producer
nm0776433	art_department
nm0087638	director
nm0087638	writer
nm0087638	producer
nm0328547	writer
nm0529465	director
nm0529465	writer
nm0529465	producer
nm0290908	writer
nm0290908	director
nm0290908	actor
nm0317314	producer
nm0317314	writer
nm0317314	miscellaneous
nm0449216	director
nm0449216	writer
nm0449216	producer
nm3583379	actor
nm3583379	writer
nm0004448	visual_effects
nm0004448	writer
nm0847412	director
nm0847412	writer
nm0847412	visual_effects
nm0291282	producer
nm0291282	writer
nm0462899	director
nm0462899	writer
nm0462899	producer
nm0001357	actor
nm0001357	writer
nm0001357	producer
nm0077626	writer
nm0077626	actor
nm0077626	producer
nm0009177	writer
nm0009177	producer
nm0006931	producer
nm0006931	editor
nm0006931	actor
nm0680780	writer
nm0680780	director
nm0680780	make_up_department
nm0374969	writer
nm0374969	miscellaneous
nm1086071	writer
nm0305693	director
nm0305693	writer
nm0305693	editor
nm0229520	actor
nm0229520	writer
nm0229520	producer
nm2288138	writer
nm1802039	producer
nm1802039	editor
nm1802039	director
nm2035708	camera_department
nm2035708	director
nm2035708	actor
nm2420913	writer
nm2420913	music_department
nm1914697	writer
nm1914697	miscellaneous
nm0633202	writer
nm0633202	actress
nm0633202	producer
nm1754509	writer
nm1602443	writer
nm1602443	producer
nm1602443	script_department
nm0183638	writer
nm0183638	actor
nm0183638	director
nm0230115	writer
nm0230115	camera_department
nm0230115	script_department
nm1349581	writer
nm1349581	miscellaneous
nm0289125	writer
nm0289125	producer
nm0289125	actress
nm1313112	writer
nm1313112	music_department
nm1313112	actor
nm0362710	writer
nm0365389	writer
nm0365389	actor
nm0365389	producer
nm0991375	writer
nm0991375	actor
nm0991375	producer
nm0559339	writer
nm0559339	actor
nm0564561	writer
nm0564561	producer
nm0564561	script_department
nm1106253	writer
nm1106253	producer
nm1106253	script_department
nm0892112	actor
nm0892112	writer
nm0892112	miscellaneous
nm0911741	writer
