name_id	name_	birth_year	death_year
nm0502090	Jane Lennox	\N	\N
nm0054045	Florence L. Barclay	1862	1921
nm0340599	John Grey	1885	1964
nm0402559	Mary Hunt	\N	\N
nm0784407	Mack Sennett	1880	1960
nm0832974	Frederick Stowers	1888	1944
nm0401429	George C. Hull	1878	1953
nm0722425	Eugene Manlove Rhodes	1869	1934
nm0400912	Rupert Hughes	1872	1956
nm0504443	Elliott Lester	1893	1951
nm0896826	Berthold Viertel	1885	1953
nm0651000	Marion Orth	1900	1984
nm0129721	H.H. Caldwell	1873	1939
nm0385012	Katherine Hilliker	1885	1965
nm0235590	Aleksandr Dovzhenko	1894	1956
nm0147800	SÃ¶lve Cederstrand	1900	1954
nm0828436	GÃ¶sta Stevens	1897	1964
nm0471341	Milton Krims	1904	1988
nm0500284	Rowland Leigh	1902	1963
nm0258493	Julius J. Epstein	1909	2000
nm0448981	Charles Kenyon	1880	1961
nm0564610	Mary C. McCall Jr.	1904	1986
nm0002021	NoÃ«l Coward	1899	1973
nm0760488	Lesser Samuels	1894	1980
nm0641045	Alice O'Fredericks	1900	1968
nm0491504	Lau Lauritzen	1910	1977
nm0416861	Rian James	1899	1953
nm0020571	Heck Allen	1912	1991
nm0343823	Hermann Grote	1904	\N
nm0826452	Robert A. Stemmle	1903	1974
nm0552552	John Bartlow Martin	1915	1987
nm0773660	Charles Schnee	1916	1962
nm0250797	Karl-Georg Egel	1919	1995
nm0343275	Richard Groschopp	1906	1996
nm0432807	Walter JupÃ©	1916	1985
nm0421043	Chris Jenkyns	1924	2011
nm0040596	George Atkins	1929	\N
nm0371725	Chris Hayward	1925	2006
nm0778880	Bill Scott	1920	1985
nm0911599	Jay Ward	1920	1989
nm0877720	Lloyd Turner	1924	1992
nm0122560	Allan Burns	1935	2021
nm0188209	Jim Critchfield	1923	1998
nm0450774	Ted Key	1912	2008
nm0618603	Vladimir Nabokov	1899	1977
nm0000040	Stanley Kubrick	1928	1999
nm0364805	James B. Harris	1928	\N
nm0161476	Winston Churchill	1874	1965
nm0938445	Victor Wolfson	1909	1990
nm0398466	John Hoyt	1905	1991
nm0763436	Antonio Santean	1936	2014
nm0648505	On Szeto	\N	\N
nm0156966	Joseph Velasco	\N	\N
nm0274659	Marco Ferreri	1928	1997
nm0044156	Rafael Azcona	1926	2008
nm0558239	Dante Matelli	\N	\N
nm0396884	Robert Houston	1955	\N
nm0463521	Kazuo Koike	1936	2019
nm0463618	Goseki Kojima	1928	2000
nm0918844	David Weisman	1942	2019
nm0891554	Francis Veber	1937	\N
nm0000697	Billy Wilder	1906	2002
nm0224634	I.A.L. Diamond	1920	1988
nm0002005	Agatha Christie	1890	1976
nm0191725	Carmen Culver	1938	\N
nm0295134	Alan Friedman	1928	2019
nm0136180	Walter Carbone	\N	\N
nm0720601	Carla Reuben	\N	\N
nm0825829	Ziggy Steinberg	\N	\N
nm0587999	Broderick Miller	\N	\N
nm0004798	Stephen J. Cannell	1941	2010
nm0638258	Bill Nuss	\N	\N
nm0185805	Charles Grant Craig	\N	\N
nm0339264	David Greenwalt	1949	\N
nm0584495	Sharon Michaels	\N	\N
nm0894594	Phyllis Vernick	\N	\N
nm0745241	Mimi Rothman Schapiro	\N	\N
nm0920114	Bill Wells	\N	\N
nm0294067	Dawn French	1957	\N
nm0674065	Sue Perkins	1969	\N
nm0766837	Jennifer Saunders	1958	\N
nm0047658	Edwin Baily	1953	\N
nm0207076	Luigi De Angelis	\N	\N
nm0470004	LÃ¡szlÃ³ Krasznahorkai	1954	\N
nm0896902	MihÃ¡ly Vig	1957	\N
nm0229569	PÃ©ter Dobai	1944	\N
nm0586280	Barna MihÃ³k	1948	2016
nm0850601	BÃ©la Tarr	1955	\N
nm0052209	Lynne Reid Banks	1929	\N
nm0558953	Melissa Mathison	1950	2015
nm0644309	Paula van der Oest	1965	\N
nm0131064	Art Camacho	\N	\N
nm0696376	Richard Preston Jr.	\N	\N
nm0776433	Charles M. Schulz	1922	2000
nm0087638	Juan Ignacio de Blas	\N	\N
nm0328547	Francisco GonzÃ¡lvez	\N	\N
nm0529465	Fernando LÃ¡zaro	\N	\N
nm0290908	Dimitri Frenkel Frank	1928	1988
nm0317314	Bastiaan Gieben	\N	\N
nm0449216	Roeland Kerbosch	\N	\N
nm3583379	Harvey Woods	\N	\N
nm0004448	Joel Hladecek	\N	\N
nm0847412	Yas Takata	\N	\N
nm0291282	Barbara Frankenstein	\N	\N
nm0462899	Volker Koepp	1944	\N
nm0001357	Paul Hogan	1939	\N
nm0077626	Matthew Berry	1969	\N
nm0009177	Eric Abrams	\N	\N
nm0006931	J.R. Bookwalter	1966	\N
nm0680780	Scott Phillips	1963	\N
nm0374969	Sara Heldt	1960	\N
nm1086071	Katarina Mazetti	1944	\N
nm0305693	JosÃ© GarcÃ­a HernÃ¡ndez	\N	\N
nm0229520	Do-yun Yu	\N	\N
nm2288138	Greg Nagan	\N	\N
nm1802039	Henric Brandt	1977	\N
nm2035708	Michael Thiel	1971	\N
nm2420913	Lina Flor	\N	\N
nm1914697	Loida ViriÃ±a	\N	\N
nm0633202	Agnes Nixon	1922	2016
nm1754509	Robin Boyes	\N	\N
nm1602443	Rob Caldwell	\N	\N
nm0183638	Adam Couper	\N	\N
nm0230115	Simon Dodd	1959	\N
nm1349581	Sean Dooley	\N	\N
nm0289125	Louise Fox	\N	\N
nm1313112	Andrew Hansen	\N	\N
nm0362710	Matthew Hardy	\N	\N
nm0365389	Tim Harris	\N	\N
nm0991375	Jason Marion	\N	\N
nm0559339	Ray Matsen	\N	\N
nm0564561	Gary McCaffrie	\N	\N
nm1106253	Guy Rundle	\N	\N
nm0892112	Michael Veitch	\N	\N
nm0911741	Michael Ward	1966	\N
nm0914950	Anthony Watt	\N	\N
nm0403568	Doris Hursley	1898	1984
nm0403569	Frank Hursley	1902	1989
nm0359343	Bruce Hancock	\N	\N
nm0454626	Dave King	1978	\N
nm1140290	Jordan Rubin	1972	\N
nm0046943	Fax Bahr	\N	\N
nm0806416	Adam Small	\N	\N
nm0231339	Lauren Dombrowski	1957	2008
nm0087782	Dick Blasucci	\N	\N
nm0167312	Chris Cluess	\N	\N
nm0185735	Steven Cragg	\N	\N
nm0186371	John Crane	1962	\N
nm0330195	Michael Hitchcock	\N	\N
nm0431546	Jennifer Joyce	\N	\N
nm0566708	Bruce McCoy	\N	\N
nm0619868	Rick Najera	\N	\N
nm0759566	David Salzman	1943	\N
nm0918633	Stephnie Weir	1967	\N
nm0931223	Maiya Williams	\N	\N
nm0936364	Jim Wise	\N	\N
nm1127337	Tami Sagher	\N	\N
nm1221047	Keegan-Michael Key	1971	\N
nm1416321	Brooks McBeth	\N	\N
nm1537615	Bryan Adams	1977	\N
nm1585752	Jason Kordelos	\N	\N
nm2062844	Scott King	\N	\N
nm0528720	Judd Lynn	\N	\N
nm2120520	Saburo Yatsude	\N	\N
nm0411127	Shotaro Ishinomori	1938	1998
nm0419550	Stefan Jaworski	\N	\N
nm2752733	AntÃ³n Sagarra	\N	\N
nm0181658	Norman Corwin	1910	2011
nm0057398	Michael Barrie	\N	\N
nm1096215	Tony De Sena	\N	\N
nm1096627	Tom Finnigan	\N	\N
nm1104066	Bob Keane	\N	\N
nm0611848	Jim Mulholland	\N	\N
nm0629456	Andrew Nicholls	\N	\N
nm0894890	Patric M. Verrone	1959	\N
nm0896000	Darrell Vickers	\N	\N
nm0815070	Aaron Sorkin	1961	\N
nm0008823	Allison Abner	\N	\N
nm0932738	Felicia Willson	\N	\N
nm1108368	Eli Attie	\N	\N
nm0111793	Gareth Brookes	\N	\N
nm0953104	Steven Zanoski	\N	\N
nm1963323	Ivana Misetic	\N	\N
nm1802524	Nikolina Culjak	\N	\N
nm1959451	Milijan Ivezic	\N	\N
nm1157809	Sanja Kovacevic	\N	\N
nm1780059	Dorotea Vucic	\N	\N
nm1867141	Tomislav Stefanac	\N	\N
nm9121938	Zvonimir Cizmar	\N	\N
nm2049233	Stjepan Matausic	\N	\N
nm0763453	Alfred Santell	1895	1981
nm0253991	Lee H. Ellenberg	1971	\N
nm1772444	Matthew Flanagan	\N	\N
nm1722340	Joe Grossman	\N	\N
nm0001468	David Letterman	1947	\N
nm1772128	David McHugh	\N	\N
nm0612301	Gerard Mulligan	\N	\N
nm1669351	Matt Roberts	\N	\N
nm0750523	Tom Ruprecht	\N	\N
nm2298220	Sam Saltz	\N	\N
nm0780980	Frank Sebastiano	\N	\N
nm0822224	Eric Stangel	\N	\N
nm0822226	Justin Stangel	\N	\N
nm1341137	Jeremy Weiner	\N	\N
nm0950085	Steve Young	\N	\N
nm2288194	Chi-Wan Ling	\N	\N
nm1901160	Fan Yeung	\N	\N
nm0736872	Fred Rogers	1928	2003
nm11562519	R. Rajashekhar	\N	\N
nm5703259	M.S. Ramesh	\N	\N
nm0278350	Laurie Finstad-Knizhnik	\N	\N
nm0526526	Janis Lundman	\N	\N
nm0593097	Adrienne Mitchell	\N	\N
nm1008882	Bruce M. Smith	\N	\N
nm1672190	Dawn Lowe-Watson	\N	\N
nm0783286	Bill Sellars	1925	2018
nm0229890	Bridget Dobson	\N	\N
nm0229908	Jerome Dobson	\N	\N
nm0758444	Frank Salisbury	\N	\N
nm1398560	Horacio Marshall	\N	\N
nm2092520	Alexandre Borges	\N	\N
nm2792470	Alexandre Castro	\N	\N
nm2088149	Irina Gomes	\N	\N
nm2396914	JosÃ© Neves	\N	\N
nm2000096	Rui Vilhena	1961	\N
nm1885396	Jamie Agin	\N	\N
nm2616352	Phil Guidry	\N	\N
nm1358370	Larry Mandt	\N	\N
nm0549008	Dino Markus	\N	\N
nm1583251	Travis Rodgers	\N	\N
nm0739175	Jim Rome	1964	\N
nm9505939	Agam Gaurav	\N	\N
nm9149569	Taraknath Gupta	\N	\N
