title_id	ordering	name_id	job_category	job
tt0004287	10	nm0390676	actress	\N
tt0004287	1	nm0704334	actor	\N
tt0004287	2	nm0755545	actress	\N
tt0004287	3	nm0790360	actor	\N
tt0004287	4	nm0848226	actress	\N
tt0004287	5	nm0066734	director	\N
tt0004287	6	nm0502090	writer	story
tt0004287	7	nm0113224	actor	\N
tt0004287	8	nm0076673	actress	\N
tt0004287	9	nm0106151	actor	\N
tt0012466	10	nm0330763	actress	\N
tt0012466	1	nm0292810	actress	\N
tt0012466	2	nm0829795	actor	\N
tt0012466	3	nm0454695	actor	\N
tt0012466	4	nm0165661	actor	\N
tt0012466	5	nm0454771	director	\N
tt0012466	6	nm0054045	writer	novel
tt0012466	7	nm0222354	cinematographer	\N
tt0012466	8	nm0932253	actor	\N
tt0012466	9	nm1530337	actress	\N
tt0012468	10	nm0413164	cinematographer	\N
tt0012468	1	nm0635667	actress	\N
tt0012468	2	nm0629589	actor	\N
tt0012468	3	nm0230188	actress	\N
tt0012468	4	nm0352443	actor	\N
tt0012468	5	nm0428059	director	\N
tt0012468	6	nm0340599	writer	titles
tt0012468	7	nm0402559	writer	scenario
tt0012468	8	nm0784407	writer	story
tt0012468	9	nm0832974	writer	scenario
tt0012734	10	nm0534259	actor	\N
tt0012734	1	nm0316995	actor	\N
tt0012734	2	nm0540485	actress	\N
tt0012734	3	nm0247483	actor	\N
tt0012734	4	nm0141650	actor	\N
tt0012734	5	nm0000406	director	\N
tt0012734	6	nm0401429	writer	scenario
tt0012734	7	nm0722425	writer	story
tt0012734	8	nm0589489	cinematographer	\N
tt0012734	9	nm0116227	actress	\N
tt0018811	10	nm0499548	actor	\N
tt0018811	1	nm0371040	actress	\N
tt0018811	2	nm0635203	actor	\N
tt0018811	3	nm0561857	actress	\N
tt0018811	4	nm0804006	actor	\N
tt0018811	5	nm0492742	director	\N
tt0018811	6	nm0400912	writer	writer
tt0018811	7	nm0073595	actor	\N
tt0018811	8	nm0666201	actress	\N
tt0018811	9	nm0207070	actor	\N
tt0020768	10	nm0385012	writer	titles
tt0020768	1	nm0268190	actor	\N
tt0020768	2	nm0242041	actress	\N
tt0020768	3	nm0868456	actor	\N
tt0020768	4	nm0948796	actress	\N
tt0020768	5	nm0003638	director	\N
tt0020768	6	nm0504443	writer	play
tt0020768	7	nm0896826	writer	adaptation
tt0020768	8	nm0651000	writer	adaptation
tt0020768	9	nm0129721	writer	titles
tt0023071	10	nm1244305	editor	\N
tt0023071	1	nm0094106	actor	\N
tt0023071	2	nm0326725	actor	\N
tt0023071	3	nm0326536	actress	\N
tt0023071	4	nm0331178	actor	\N
tt0023071	5	nm0235590	director	\N
tt0023071	6	nm0527912	composer	\N
tt0023071	7	nm0577141	composer	\N
tt0023071	8	nm0218837	cinematographer	\N
tt0023071	9	nm0947331	cinematographer	\N
tt0027155	10	nm0442664	actress	\N
tt0027155	1	nm0252421	actor	\N
tt0027155	2	nm0738198	actress	\N
tt0027155	3	nm0092051	actor	\N
tt0027155	4	nm0259206	actor	\N
tt0027155	5	nm0596410	director	\N
tt0027155	6	nm0147800	writer	\N
tt0027155	7	nm0828436	writer	\N
tt0027155	8	nm0006314	composer	\N
tt0027155	9	nm0005939	cinematographer	\N
tt0030727	10	nm0564610	writer	contributing writer
tt0030727	1	nm0290215	actress	\N
tt0030727	2	nm0107575	actor	\N
tt0030727	3	nm0402842	actor	\N
tt0030727	4	nm0225649	actress	\N
tt0030727	5	nm0445033	director	\N
tt0030727	6	nm0471341	writer	original screenplay
tt0030727	7	nm0500284	writer	original screenplay
tt0030727	8	nm0258493	writer	original screenplay
tt0030727	9	nm0448981	writer	contributing writer
tt0032256	10	nm0470932	editor	film editor
tt0032256	1	nm0531776	actress	\N
tt0032256	2	nm0248904	actor	\N
tt0032256	3	nm0001695	actor	\N
tt0032256	4	nm0402842	actor	\N
tt0032256	5	nm0886754	director	\N
tt0032256	6	nm0002021	writer	original play
tt0032256	7	nm0760488	writer	screen play
tt0032256	8	nm0767701	producer	producer
tt0032256	9	nm0005784	cinematographer	director of photography
tt0033231	10	nm0414694	production_designer	\N
tt0033231	1	nm0854996	actress	\N
tt0033231	2	nm0082600	actor	\N
tt0033231	3	nm0617527	actress	\N
tt0033231	4	nm0452735	actor	\N
tt0033231	5	nm0491504	director	\N
tt0033231	6	nm0641045	director	\N
tt0033231	7	nm0197135	composer	\N
tt0033231	8	nm0742254	composer	\N
tt0033231	9	nm0027722	cinematographer	\N
tt0033435	10	nm0455893	actor	\N
tt0033435	1	nm0572142	actor	\N
tt0033435	2	nm0941019	actress	\N
tt0033435	3	nm0641454	actor	\N
tt0033435	4	nm0446763	actress	\N
tt0033435	5	nm0235066	director	\N
tt0033435	6	nm0416861	writer	original screenplay
tt0033435	7	nm0789049	cinematographer	director of photography
tt0033435	8	nm0429842	editor	\N
tt0033435	9	nm0686032	actress	\N
tt0033835	1	nm1498560	actor	\N
tt0033835	2	nm0173416	actor	\N
tt0033835	3	nm0020980	director	\N
tt0033835	4	nm0411208	director	\N
tt0033835	5	nm0020571	writer	story
tt0034076	10	nm0513055	production_designer	\N
tt0034076	1	nm0004464	actor	\N
tt0034076	2	nm0385381	actress	\N
tt0034076	3	nm0278692	actor	\N
tt0034076	4	nm0509573	actor	\N
tt0034076	5	nm0389219	director	\N
tt0034076	6	nm0343823	writer	novel of the same name
tt0034076	7	nm0826452	writer	screenplay
tt0034076	8	nm0005968	composer	\N
tt0034076	9	nm0902490	cinematographer	\N
tt0041847	10	nm0900944	cinematographer	director of photography
tt0041847	1	nm0004496	actor	\N
tt0041847	2	nm0006428	actress	\N
tt0041847	3	nm0002038	actress	\N
tt0041847	4	nm0237025	actor	\N
tt0041847	5	nm0746740	director	\N
tt0041847	6	nm0552552	writer	story
tt0041847	7	nm0773660	writer	screenplay
tt0041847	8	nm0710680	producer	producer
tt0041847	9	nm0006238	composer	\N
tt0045806	10	nm0458170	cinematographer	\N
tt0045806	1	nm0462442	actor	\N
tt0045806	2	nm0546444	actress	\N
tt0045806	3	nm0857352	actor	\N
tt0045806	4	nm0459901	actor	\N
tt0045806	5	nm0375213	director	\N
tt0045806	6	nm0250797	writer	writer
tt0045806	7	nm0343275	writer	writer
tt0045806	8	nm0432807	writer	dramaturgue
tt0045806	9	nm0744758	composer	\N
tt0052507	10	nm0749476	actor	\N
tt0052507	1	nm0778880	actor	\N
tt0052507	2	nm0004931	actress	\N
tt0052507	3	nm0293659	actor	\N
tt0052507	4	nm0002143	actor	\N
tt0052507	5	nm0911599	writer	creator
tt0052507	6	nm0002016	actor	\N
tt0052507	7	nm0856533	actor	\N
tt0052507	8	nm0124889	actor	\N
tt0052507	9	nm0175788	actor	\N
tt0056193	10	nm0367431	editor	\N
tt0056193	1	nm0000051	actor	\N
tt0056193	2	nm0001859	actress	\N
tt0056193	3	nm0528987	actress	\N
tt0056193	4	nm0168324	actor	\N
tt0056193	5	nm0000040	director	\N
tt0056193	6	nm0618603	writer	screenplay
tt0056193	7	nm0364805	writer	\N
tt0056193	8	nm0725765	composer	\N
tt0056193	9	nm0005807	cinematographer	director of photography
tt0058099	10	nm0005722	cinematographer	\N
tt0058099	1	nm0048468	actor	\N
tt0058099	2	nm0111623	actress	\N
tt0058099	3	nm0372242	actor	\N
tt0058099	4	nm0000080	actor	\N
tt0058099	5	nm0063077	director	\N
tt0058099	6	nm0161476	writer	book
tt0058099	7	nm0938445	writer	\N
tt0058099	8	nm0505617	producer	producer
tt0058099	9	nm0006112	composer	\N
tt0058144	1	nm0551458	actress	\N
tt0058144	2	nm0398466	actor	\N
tt0058144	3	nm0176879	actor	\N
tt0058144	4	nm0446059	actor	\N
tt0058144	5	nm0763436	director	\N
tt0058144	6	nm0507606	producer	producer
tt0058144	7	nm0579387	composer	\N
tt0058144	8	nm0141256	cinematographer	\N
tt0058144	9	nm0285925	editor	\N
tt0061156	1	nm0156453	actor	\N
tt0061156	2	nm12197046	actress	\N
tt0061156	3	nm0497394	actress	\N
tt0061156	4	nm0508662	actor	\N
tt0061156	5	nm0159201	director	\N
tt0061156	6	nm0648505	writer	\N
tt0061156	7	nm0523704	actor	\N
tt0061156	8	nm1982676	actress	\N
tt0061156	9	nm3231314	actress	\N
tt0066477	10	nm0157304	actor	\N
tt0066477	1	nm0151080	actor	\N
tt0066477	2	nm0527863	actor	\N
tt0066477	3	nm1296843	actress	\N
tt0066477	4	nm0496968	actor	\N
tt0066477	5	nm0156966	director	\N
tt0066477	6	nm0664455	producer	producer
tt0066477	7	nm0159450	composer	\N
tt0066477	8	nm0398739	cinematographer	\N
tt0066477	9	nm0398799	actor	\N
tt0067896	10	nm0005919	cinematographer	\N
tt0067896	1	nm0417797	actor	\N
tt0067896	2	nm0001012	actress	\N
tt0067896	3	nm0865575	actor	\N
tt0067896	4	nm0681566	actor	\N
tt0067896	5	nm0274659	director	\N
tt0067896	6	nm0044156	writer	story
tt0067896	7	nm0558239	writer	screenplay
tt0067896	8	nm0188053	producer	producer
tt0067896	9	nm0006328	composer	\N
tt0081506	10	nm0441526	producer	producer
tt0081506	1	nm0423663	actor	\N
tt0081506	2	nm0559607	actress	\N
tt0081506	3	nm0645011	actor	\N
tt0081506	4	nm0633028	actor	\N
tt0081506	5	nm0396884	director	\N
tt0081506	6	nm0593014	director	\N
tt0081506	7	nm0463521	writer	screenplay
tt0081506	8	nm0463618	writer	\N
tt0081506	9	nm0918844	writer	\N
tt0082111	10	nm0005888	cinematographer	director of photography
tt0082111	1	nm0000493	actor	\N
tt0082111	2	nm0000527	actor	\N
tt0082111	3	nm0696038	actress	\N
tt0082111	4	nm0001428	actor	\N
tt0082111	5	nm0000697	director	\N
tt0082111	6	nm0891554	writer	play: Le Contrat
tt0082111	7	nm0224634	writer	written by
tt0082111	8	nm0922970	producer	producer
tt0082111	9	nm0006277	composer	\N
tt0082779	10	nm0005909	cinematographer	director of photography
tt0082779	1	nm0084642	actor	\N
tt0082779	2	nm0001153	actress	\N
tt0082779	3	nm0000014	actress	\N
tt0082779	4	nm0371040	actress	\N
tt0082779	5	nm0923613	director	\N
tt0082779	6	nm0002005	writer	novel
tt0082779	7	nm0191725	writer	teleplay
tt0082779	8	nm0546876	producer	producer
tt0082779	9	nm0006086	composer	\N
tt0092216	10	nm0570439	composer	\N
tt0092216	1	nm0781899	actress	\N
tt0092216	2	nm0001157	actress	\N
tt0092216	3	nm0348747	actor	\N
tt0092216	4	nm0849672	actress	\N
tt0092216	5	nm0004621	director	\N
tt0092216	6	nm0295134	writer	story
tt0092216	7	nm0136180	writer	screenplay by
tt0092216	8	nm0720601	writer	screenplay by
tt0092216	9	nm0157611	producer	producer
tt0101356	10	nm0913461	production_designer	\N
tt0101356	1	nm0001640	actor	\N
tt0101356	2	nm0000698	actor	\N
tt0101356	3	nm0001689	actress	\N
tt0101356	4	nm0002332	actor	\N
tt0101356	5	nm0680629	director	\N
tt0101356	6	nm0825829	writer	written by
tt0101356	7	nm0343343	composer	\N
tt0101356	8	nm0005755	cinematographer	\N
tt0101356	9	nm0384190	editor	\N
tt0103239	10	nm0470927	editor	\N
tt0103239	1	nm0000442	actor	\N
tt0103239	2	nm0000211	actress	\N
tt0103239	3	nm0001040	actress	\N
tt0103239	4	nm0001664	actor	\N
tt0103239	5	nm0853546	director	\N
tt0103239	6	nm0587999	writer	written by
tt0103239	7	nm0527322	producer	producer
tt0103239	8	nm0006099	composer	\N
tt0103239	9	nm0005777	cinematographer	\N
tt0103436	10	nm0762560	actor	\N
tt0103436	1	nm0785594	actor	\N
tt0103436	2	nm0912308	actor	\N
tt0103436	3	nm0666806	actor	\N
tt0103436	4	nm0866055	actor	\N
tt0103436	5	nm0004798	writer	created by
tt0103436	6	nm0730303	actor	\N
tt0103436	7	nm0140848	actress	\N
tt0103436	8	nm0115198	actor	\N
tt0103436	9	nm0201437	actress	\N
tt0104491	10	nm0234607	producer	producer
tt0104491	1	nm0005234	actress	\N
tt0104491	2	nm0315288	actor	\N
tt0104491	3	nm0748270	actor	\N
tt0104491	4	nm0292623	actor	\N
tt0104491	5	nm0852676	director	\N
tt0104491	6	nm0584495	writer	story
tt0104491	7	nm0894594	writer	story
tt0104491	8	nm0745241	writer	teleplay
tt0104491	9	nm0920114	writer	teleplay
tt0105929	10	nm0300752	actress	\N
tt0105929	1	nm0766837	actress	\N
tt0105929	2	nm0525921	actress	\N
tt0105929	3	nm0768018	actress	\N
tt0105929	4	nm0925930	actress	\N
tt0105929	5	nm0001363	actress	\N
tt0105929	6	nm0496478	actress	\N
tt0105929	7	nm0861664	actress	\N
tt0105929	8	nm0605283	actress	\N
tt0105929	9	nm0539095	actor	\N
tt0106879	10	nm0161712	cinematographer	\N
tt0106879	1	nm0086924	actress	\N
tt0106879	2	nm0186567	actor	\N
tt0106879	3	nm0545838	actor	\N
tt0106879	4	nm0135480	actress	\N
tt0106879	5	nm0047658	director	\N
tt0106879	6	nm0207076	writer	writer
tt0106879	7	nm0098953	producer	producer
tt0106879	8	nm0117593	producer	producer
tt0106879	9	nm0003073	composer	\N
tt0111341	10	nm0903167	producer	producer
tt0111341	1	nm0896902	actor	\N
tt0111341	2	nm0395814	actor	\N
tt0111341	3	nm0269841	actor	\N
tt0111341	4	nm0022034	actress	\N
tt0111341	5	nm0850601	director	\N
tt0111341	6	nm0470004	writer	novel
tt0111341	7	nm0229569	writer	story
tt0111341	8	nm0586280	writer	story
tt0111341	9	nm0270486	producer	producer
tt0113419	10	nm0823661	producer	producer
tt0113419	1	nm0769136	actor	\N
tt0113419	2	nm0514342	actor	\N
tt0113419	3	nm0001080	actress	\N
