title_id	ordering	attribute
tt0024674	7	cable TV title
tt0030727	5	transliterated title
tt0032256	14	transliterated title
tt0041200	6	dubbed version
tt0047898	23	dubbed version
tt0057543	18	transliterated title
tt0058150	55	alternative spelling
tt0061320	12	poster title
tt0066477	16	literal title
tt0067189	6	short title
tt0067411	17	informal short title
tt0072752	19	transliterated title
tt0080556	2	poster title
tt0082779	14	complete title
tt0082910	49	short title
tt0086263	6	alternative spelling
tt0089748	27	original subtitled version
tt0093278	15	video box title
tt0096209	6	literal English title
tt0097372	9	video box title
tt0099818	3	transliterated title
tt0103239	14	video box title
tt0106673	27	transliterated title
tt0109581	4	cable TV title
tt0110955	11	transliterated title
tt0137143	2	literal title
tt0138601	7	reissue title
tt0141313	6	theatrical title
tt0171172	1	transliterated title
tt0174676	3	alternative spelling
tt0185162	3	literal title
tt0191785	7	cable TV title
tt0195559	5	theatrical title
tt0201086	4	transliterated title
tt0201971	2	literal English title
tt0230675	3	series title
tt0259351	6	alternative spelling
tt0264062	3	promotional title
tt0283110	2	DVD box title
tt0300446	2	new title
tt0329767	24	transliterated title
tt0336152	3	transliterated title
tt0372181	2	series title
tt0392637	3	short title
tt0393146	2	reissue title
tt0413256	4	DVD box title
tt0824714	3	new title
tt0905329	8	alternative spelling
tt10369978	19	new title
tt10377196	1	literal English title
tt10460106	1	subtitle
tt11051974	8	alternative transliteration
tt12339108	2	alternative transliteration
tt12418772	7	short title
tt13531430	3	DVD box title
tt13831266	14	dubbed version
tt14556566	2	literal English title
tt14603094	5	transliterated title
tt1604171	5	cable TV title
tt1606359	3	complete title
tt1690470	12	long title
tt1820225	15	sixth season title
tt19758786	1	alternative transliteration
tt2213962	4	alternative spelling
tt2848322	2	alternative spelling
tt3209376	1	new title
tt4567858	1	new title
tt5738110	3	complete title
tt6140386	3	last season title
tt7028136	10	segment title
tt7971498	3	DVD box title
tt9480432	3	new title
