title_id	ordering	type
tt0004287	1	imdbDisplay
tt0004307	2	original
tt0005005	7	original
tt0006548	19	imdbDisplay
tt0007858	3	imdbDisplay
tt0010108	1	imdbDisplay
tt0010306	1	imdbDisplay
tt0011231	5	imdbDisplay
tt0012432	2	imdbDisplay
tt0012466	2	imdbDisplay
tt0012468	1	imdbDisplay
tt0012734	5	imdbDisplay
tt0016615	5	imdbDisplay
tt0017242	8	imdbDisplay
tt0018520	1	imdbDisplay
tt0018811	1	original
tt0018994	3	imdbDisplay
tt0019773	8	imdbDisplay
tt0020768	3	imdbDisplay
tt0021137	1	original
tt0021778	4	imdbDisplay
tt0022353	14	imdbDisplay
tt0022816	1	imdbDisplay
tt0023071	5	original
tt0023209	4	imdbDisplay
tt0024061	4	imdbDisplay
tt0024099	2	imdbDisplay
tt0024744	2	imdbDisplay
tt0025007	2	imdbDisplay
tt0025591	30	imdbDisplay
tt0026005	1	imdbDisplay
tt0027155	6	imdbDisplay
tt0027171	10	imdbDisplay
tt0028071	1	original
tt0028352	5	imdbDisplay
tt0028359	16	alternative
tt0029036	13	imdbDisplay
tt0029039	8	imdbDisplay
tt0029870	26	imdbDisplay
tt0030051	2	imdbDisplay
tt0030484	1	imdbDisplay
tt0030884	1	imdbDisplay
tt0031973	2	imdbDisplay
tt0033231	3	original
tt0033238	11	imdbDisplay
tt0033435	16	original
tt0033835	5	imdbDisplay
tt0033987	6	imdbDisplay
tt0034076	10	imdbDisplay
tt0034093	21	imdbDisplay
tt0034753	4	imdbDisplay
tt0034883	3	imdbDisplay
tt0036108	2	original
tt0036625	15	imdbDisplay
tt0036952	6	imdbDisplay
tt0037232	5	imdbDisplay
tt0037690	4	imdbDisplay
tt0037701	6	imdbDisplay
tt0037771	8	imdbDisplay
tt0038127	1	imdbDisplay
tt0039472	3	imdbDisplay
tt0040731	7	original
tt0040876	46	imdbDisplay
tt0040920	4	imdbDisplay
tt0041270	1	imdbDisplay
tt0041448	2	imdbDisplay
tt0041474	4	imdbDisplay
tt0041716	26	imdbDisplay
tt0041967	4	alternative
tt0042200	21	imdbDisplay
tt0042897	14	imdbDisplay
tt0043311	6	original
tt0044630	11	imdbDisplay
tt0044812	6	imdbDisplay
tt0044818	2	imdbDisplay
tt0044859	17	imdbDisplay
tt0045040	6	imdbDisplay
tt0045806	3	original
tt0046681	1	original
tt0047091	3	alternative
tt0047162	8	imdbDisplay
tt0047424	20	imdbDisplay
tt0047507	3	imdbDisplay
tt0048078	6	imdbDisplay
tt0049372	3	imdbDisplay
tt0049696	20	imdbDisplay
tt0049949	2	imdbDisplay
tt0049972	3	imdbDisplay
tt0050762	2	original
tt0051405	6	imdbDisplay
tt0051439	9	imdbDisplay
tt0052327	18	imdbDisplay
tt0052507	7	imdbDisplay
tt0052958	1	original
tt0053714	3	imdbDisplay
tt0054693	13	working
tt0055408	6	imdbDisplay
tt0055934	6	imdbDisplay
tt0056193	17	imdbDisplay
tt0056732	28	imdbDisplay
tt0057128	25	imdbDisplay
tt0057682	6	imdbDisplay
tt0058099	1	imdbDisplay
tt0058144	5	alternative
tt0058154	4	imdbDisplay
tt0058167	4	imdbDisplay
tt0059652	1	original
tt0059971	3	original
tt0060302	1	imdbDisplay
tt0060710	1	imdbDisplay
tt0061913	18	imdbDisplay
tt0061960	14	imdbDisplay
tt0061985	3	original
tt0062574	1	imdbDisplay
tt0062706	3	original
tt0062958	11	imdbDisplay
tt0063578	2	original
tt0063895	4	imdbDisplay
tt0064294	7	imdbDisplay
tt0064588	13	imdbDisplay
tt0064719	2	imdbDisplay
tt0065052	1	imdbDisplay
tt0065157	2	imdbDisplay
tt0065184	2	imdbDisplay
tt0066064	22	imdbDisplay
tt0066808	27	imdbDisplay
tt0067229	19	imdbDisplay
tt0067896	10	video
tt0068003	6	imdbDisplay
tt0068323	29	imdbDisplay
tt0068361	28	imdbDisplay
tt0068415	19	imdbDisplay
tt0069114	7	imdbDisplay
tt0070091	6	imdbDisplay
tt0070185	4	festival
tt0071559	3	imdbDisplay
tt0072288	14	imdbDisplay
tt0073569	1	imdbDisplay
tt0073840	1	imdbDisplay
tt0074739	3	imdbDisplay
tt0075730	6	imdbDisplay
tt0075923	5	dvd
tt0076406	2	imdbDisplay
tt0077372	21	imdbDisplay
tt0077617	9	imdbDisplay
tt0078269	12	imdbDisplay
tt0078388	3	imdbDisplay
tt0079055	4	imdbDisplay
tt0080058	17	imdbDisplay
tt0080065	5	imdbDisplay
tt0080274	21	imdbDisplay
tt0080868	8	imdbDisplay
tt0080932	4	original
tt0081386	2	imdbDisplay
tt0081506	18	imdbDisplay
tt0081530	5	working
tt0081539	18	alternative
tt0082111	13	imdbDisplay
tt0082127	2	original
tt0084494	2	imdbDisplay
tt0084616	7	imdbDisplay
tt0084854	33	imdbDisplay
tt0085333	24	imdbDisplay
tt0086646	25	imdbDisplay
tt0088195	11	original
tt0088912	14	imdbDisplay
tt0088950	2	imdbDisplay
tt0089274	11	imdbDisplay
tt0089365	8	working
tt0089751	3	original
tt0090333	11	imdbDisplay
tt0090633	3	alternative
tt0090644	14	imdbDisplay
tt0092907	3	imdbDisplay
tt0093771	18	imdbDisplay
tt0094525	49	alternative
tt0094599	5	imdbDisplay
tt0094701	3	imdbDisplay
tt0094737	48	imdbDisplay
tt0095162	5	imdbDisplay
tt0095825	16	imdbDisplay
tt0097332	2	imdbDisplay
tt0097967	16	imdbDisplay
tt0098546	1	imdbDisplay
tt0098803	13	imdbDisplay
tt0099326	3	imdbDisplay
tt0100024	1	imdbDisplay
tt0100234	15	festival
tt0100300	21	imdbDisplay
tt0101694	26	imdbDisplay
tt0101745	18	imdbDisplay
tt0102386	1	imdbDisplay
tt0102613	7	imdbDisplay
tt0103223	14	original
tt0103293	8	imdbDisplay
tt0103436	2	imdbDisplay
