titleId	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0004287	short	The Maid from Sweden	The Maid from Sweden	0	1914	\N	10	Comedy,Short
tt0004307	movie	Martin Eden	Martin Eden	0	1914	\N	50	Drama
tt0005005	movie	The Broken Coin	The Broken Coin	0	1915	\N	440	Adventure,Mystery
tt0006548	short	The Count	The Count	0	1916	\N	21	Comedy,Short
tt0007858	movie	Diamonds and Pearls	Diamonds and Pearls	0	1917	\N	50	Drama
tt0010108	movie	The Fall of Babylon	The Fall of Babylon	0	1919	\N	82	Drama
tt0010306	short	Itasca Makes Her Bow	Itasca Makes Her Bow	0	1919	\N	\N	Documentary,Short
tt0010946	movie	Aan boord van de 'Sabina'	Aan boord van de 'Sabina'	0	1920	\N	\N	\N
tt0011231	movie	The Girl in the Web	The Girl in the Web	0	1920	\N	60	Mystery
tt0012432	movie	The Magnificent Brute	The Magnificent Brute	0	1921	\N	50	Drama
tt0012466	movie	The Mistress of Shenstone	The Mistress of Shenstone	0	1921	\N	60	Drama,Romance
tt0012468	movie	Molly O'	Molly O'	0	1921	\N	80	Comedy
tt0012734	movie	Sure Fire	Sure Fire	0	1921	\N	50	Western
tt0016615	movie	Atta Boy	Atta Boy	0	1926	\N	63	Action,Comedy,Crime
tt0017242	movie	Padlocked	Padlocked	0	1926	\N	70	Drama,Romance
tt0018520	movie	La tía Ramona	La tía Ramona	0	1928	\N	\N	\N
tt0018811	short	The Dancing Town	The Dancing Town	0	1928	\N	20	Short
tt0018994	movie	Strauss, the Waltz King	Heut' spielt der Strauss	0	1928	\N	\N	Drama
tt0019773	movie	Clear the Decks	Clear the Decks	0	1929	\N	70	Drama
tt0020768	movie	City Girl	City Girl	0	1930	\N	77	Drama,Romance
tt0021137	movie	Men Are Like That	Men Are Like That	0	1930	\N	61	Comedy,Drama,Music
tt0021778	movie	Dance, Fools, Dance	Dance, Fools, Dance	0	1931	\N	80	Crime,Drama,Romance
tt0022353	movie	Seas Beneath	Seas Beneath	0	1931	\N	90	Action,Drama,War
tt0022816	movie	Devil's Lottery	Devil's Lottery	0	1932	\N	78	Drama
tt0023071	movie	Ivan	Ivan	0	1932	\N	102	Drama
tt0023209	movie	Men of Chance	Men of Chance	0	1931	\N	67	Drama
tt0023685	movie	The Wet Parade	The Wet Parade	0	1932	\N	118	Drama,History,Romance
tt0024061	movie	The Peak Scaler	Gipfelstürmer	0	1933	\N	83	Drama
tt0024099	movie	O' Schwarzwald, O' Heimat	Heimkehr ins Glück	0	1933	\N	86	Comedy
tt0024613	short	The Steeple Chase	The Steeple Chase	0	1933	\N	7	Animation,Comedy,Family
tt0024674	movie	To the Last Man	To the Last Man	0	1933	\N	74	Western
tt0024744	short	Wake Up the Gypsy in Me	Wake Up the Gypsy in Me	0	1933	\N	7	Animation,Comedy,Family
tt0025007	short	The Cracked Ice Man	The Cracked Ice Man	0	1934	\N	19	Comedy,Short
tt0025336	movie	Der junge Baron Neuhaus	Der junge Baron Neuhaus	0	1934	\N	95	\N
tt0025591	short	Oliver the Eighth	Oliver the Eighth	0	1934	\N	27	Comedy,Family,Short
tt0026005	movie	A Woman's Man	A Woman's Man	0	1934	\N	70	Comedy,Drama
tt0027155	movie	Under falsk flagg	Under falsk flagg	0	1935	\N	89	Comedy
tt0027171	movie	Viktoria	Viktoria	0	1935	\N	91	Drama
tt0028071	movie	River of Unrest	Ourselves Alone	0	1936	\N	70	Drama,Romance,War
tt0028352	movie	The Texas Rangers	The Texas Rangers	0	1936	\N	98	Western
tt0028359	movie	13 Hours by Air	Thirteen Hours by Air	0	1936	\N	80	Action,Comedy,Crime
tt0029036	movie	I Met Him in Paris	I Met Him in Paris	0	1937	\N	86	Comedy,Romance
tt0029039	movie	I Promise to Pay	I Promise to Pay	0	1937	\N	68	Action,Crime,Drama
tt0029870	movie	Angels with Dirty Faces	Angels with Dirty Faces	0	1938	\N	97	Crime,Drama,Film-Noir
tt0030051	movie	Desert Patrol	Desert Patrol	0	1938	\N	56	Western
tt0030484	movie	The Mysterious Rider	The Mysterious Rider	0	1938	\N	74	Western
tt0030727	movie	Secrets of an Actress	Secrets of an Actress	0	1938	\N	70	Drama,Music,Mystery
tt0030884	movie	Torchy Gets Her Man	Torchy Gets Her Man	0	1938	\N	63	Comedy,Crime,Mystery
tt0031973	movie	Stanley and Livingstone	Stanley and Livingstone	0	1939	\N	101	Adventure,Drama,History
tt0032187	movie	Alarm	Alarm	0	1941	\N	90	\N
tt0032256	movie	Bitter Sweet	Bitter Sweet	0	1940	\N	94	Drama,Musical,Romance
tt0033231	movie	Västkustens hjältar	Västkustens hjältar	0	1940	\N	79	Drama
tt0033238	movie	Waterloo Bridge	Waterloo Bridge	0	1940	\N	108	Drama,Romance,War
tt0033435	movie	Broadway Limited	Broadway Limited	0	1941	\N	75	Comedy,Romance
tt0033835	short	Little Cesario	Little Cesario	0	1941	\N	8	Animation,Comedy,Family
tt0033987	movie	Out of the Fog	Out of the Fog	0	1941	\N	85	Crime,Drama,Film-Noir
tt0034076	movie	Quax, der Bruchpilot	Quax, der Bruchpilot	0	1941	\N	92	Comedy
tt0034093	movie	Remorques	Remorques	0	1941	\N	91	Action,Drama,Romance
tt0034753	short	Fraidy Cat	Fraidy Cat	0	1942	\N	8	Animation,Comedy,Family
tt0034883	movie	I Was Framed	I Was Framed	0	1942	\N	61	Action,Adventure,Crime
tt0036108	movie	Lettere al sottotenente	Lettere al sottotenente	0	1945	\N	91	Comedy
tt0036625	movie	Barbary Coast Gent	Barbary Coast Gent	0	1944	\N	87	Comedy,Crime,Romance
tt0036952	movie	In Our Time	In Our Time	0	1944	\N	110	Drama,Music,Mystery
tt0037232	movie	Romeo y Julieta	Romeo y Julieta	0	1943	\N	100	Comedy
tt0037690	movie	The Falcon in San Francisco	The Falcon in San Francisco	0	1945	\N	66	Crime,Film-Noir,Mystery
tt0037701	movie	First Yank Into Tokyo	First Yank Into Tokyo	0	1945	\N	82	Action,Drama,Romance
tt0037771	movie	Here Come the Co-eds	Here Come the Co-eds	0	1945	\N	90	Comedy
tt0038127	movie	Strange Voyage	Strange Voyage	0	1946	\N	80	Adventure,Drama
tt0039472	movie	Honeymoon	Honeymoon	0	1947	\N	74	Comedy
tt0040731	movie	The Return of Wildfire	The Return of Wildfire	0	1948	\N	83	Action,Romance,Western
tt0040876	movie	The Three Musketeers	The Three Musketeers	0	1948	\N	125	Action,Adventure,Drama
tt0040920	movie	Unknown Island	Unknown Island	0	1948	\N	75	Adventure,Horror,Romance
tt0041200	movie	I'm in the Revue	Botta e risposta	0	1950	\N	80	Comedy
tt0041270	movie	Four Against the World	Cuatro contra el mundo	0	1950	\N	100	Crime,Drama,Thriller
tt0041448	movie	Haunted Trails	Haunted Trails	0	1949	\N	58	Western
tt0041474	short	Holiday for Drumsticks	Holiday for Drumsticks	0	1949	\N	7	Animation,Comedy,Family
tt0041716	movie	On the Town	On the Town	0	1949	\N	98	Comedy,Musical,Romance
tt0041847	movie	Scene of the Crime	Scene of the Crime	0	1949	\N	94	Crime,Drama,Film-Noir
tt0041967	movie	Tokyo Joe	Tokyo Joe	0	1949	\N	88	Crime,Drama,Film-Noir
tt0042200	movie	Annie Get Your Gun	Annie Get Your Gun	0	1950	\N	107	Comedy,Musical,Romance
tt0042897	movie	Rocketship X-M	Rocketship X-M	0	1950	\N	77	Family,Sci-Fi
tt0043311	movie	Bakonja fra Brne	Bakonja fra Brne	0	1951	\N	104	Comedy
tt0043505	movie	The Young Caruso	Enrico Caruso - Leggenda di una voce	0	1951	\N	91	Biography,Drama,Music
tt0044630	movie	Fort Osage	Fort Osage	0	1952	\N	72	Western
tt0044812	movie	Captain Bay-Bay	Käpt'n Bay-Bay	0	1953	\N	101	Comedy
tt0044818	movie	Lady in the Iron Mask	Lady in the Iron Mask	0	1952	\N	78	Adventure
tt0044859	movie	Lure of the Wilderness	Lure of the Wilderness	0	1952	\N	93	Adventure,Drama,Romance
