title_id	parent_tv_show_title_id	season_number	episode_number
tt0049473	tt0046593	1	20
tt0050318	tt0046593	4	1
tt0054994	tt0046593	8	2
tt0055929	tt0046593	10	17
tt0055961	tt0046593	9	2
tt0056033	tt0046593	9	1
tt0056250	tt0046593	9	10
tt0056373	tt0046593	8	21
tt0056441	tt0046593	9	6
tt0057157	tt0046593	10	1
tt0057201	tt0046593	9	16
tt0057255	tt0046593	9	15
tt0057668	tt0046593	10	5
tt0057867	tt0046593	10	12
tt0058640	tt0046593	11	7
tt0058937	tt0046593	12	19
tt0060331	tt1711895	1	13
tt0060715	tt0046593	13	16
tt0061422	tt0046593	14	11
tt0061552	tt0200358	1	8
tt0063381	tt0200358	1	17
tt0063628	tt0200358	2	1
tt0064174	tt0062578	2	7
tt0064705	tt0046593	16	2
tt0065487	tt0046593	17	2
tt0065608	tt0200358	3	22
tt0069480	tt0046593	17	4
tt0070353	tt0069606	1	0
tt0071501	tt0200358	8	8
tt0073176	tt0397818	1	1
tt0073355	tt0397818	1	2
tt0073587	tt0397818	1	3
tt0074568	tt0073994	1	0
tt0077325	tt0046593	24	16
tt0083523	tt0046593	28	22
tt0084754	tt0083486	1	1
tt0084758	tt0046593	28	14
tt0084885	tt0046593	28	12
tt0085898	tt0085051	1	1
tt0088742	tt0046593	31	5
tt0090680	tt0046593	31	4
tt0090751	tt0083486	5	16
tt0090803	tt0046593	30	16
tt0091048	tt0046593	30	10
tt0091115	tt0046593	30	5
tt0091194	tt0046593	30	1
tt0091198	tt0046593	31	2
tt0091248	tt0046593	30	9
tt0091395	tt0046593	31	7
tt0091420	tt0046593	31	3
tt0091566	tt0046593	30	11
tt0091852	tt0046593	30	7
tt0092027	tt0046593	31	9
tt0092077	tt0046593	31	8
tt0092269	tt0046593	30	13
tt0092657	tt0046593	31	19
tt0092696	tt0046593	31	23
tt0092766	tt0088621	3	7
tt0092919	tt0046593	31	22
tt0092920	tt0046593	31	15
tt0092970	tt0200358	23	1
tt0093292	tt0092381	1	2
tt0093414	tt0046593	31	17
tt0093852	tt0046593	32	3
tt0094030	tt0092455	1	1
tt0094330	tt0092484	1	1
tt0094360	tt0046593	31	16
tt0094362	tt0046593	31	20
tt0094603	tt0046593	33	5
tt0094953	tt0046593	33	4
tt0095077	tt0046593	32	11
tt0095420	tt0046593	32	22
tt0096001	tt0046593	32	13
tt0096361	tt0158415	1	4
tt0096362	tt0158415	1	1
tt0096363	tt0158415	1	2
tt0098106	tt0046593	34	6
tt0098576	tt0158415	1	3
tt0099526	tt0046593	34	13
tt0100216	tt0094525	3	1
tt0106336	tt0105946	1	0
tt0110014	tt0094525	6	1
tt0111281	tt0092455	7	25
tt0121221	tt1711895	1	5
tt0121291	tt0046593	10	21
tt0133717	tt0108749	4	3
tt0133718	tt0108749	4	2
tt0142825	tt0046593	9	8
tt0148446	tt0159178	3	10
tt0151498	tt0046593	4	12
tt0151857	tt0046593	3	14
tt0157490	tt0200358	2	14
tt0157924	tt0046593	12	17
tt0158669	tt0046593	11	15
tt0160949	tt0088621	8	7
tt0162905	tt0092455	5	18
tt0164104	tt0046593	6	1
tt0165375	tt0088559	1	1
tt0166829	tt0046593	26	14
tt0170501	tt0092455	5	1
tt0177842	tt0096697	7	6
tt0178157	tt0086779	8	1
tt0178158	tt0086779	9	1
tt0179565	tt0046593	7	7
tt0182225	tt0094525	6	2
tt0182332	tt0094525	6	3
tt0182352	tt0094525	4	3
tt0182361	tt0094525	2	1
tt0184415	tt0108749	5	3
tt0186971	tt0108749	5	2
tt0187660	tt0086779	10	1
tt0188304	tt0046593	24	17
tt0191519	tt0046593	33	18
tt0194956	tt0046593	8	5
tt0197215	tt0046593	11	16
