Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
713100,449500,187636200,1083305300,0,0,0,0,1525791200,0
555100,402100,207300,51658600,0,0,0,0,0,172400
502300,398300,113452400,946136200,0,0,0,0,1176840000,0
375900,358100,116300,63426000,0,0,0,0,0,11700
478700,279500,77207900,814760300,0,0,0,0,985767900,0
373400,268700,75300,50887400,0,0,0,0,0,10000
425700,201600,83962400,798086500,0,0,0,0,953718000,0
412000,313400,66400,55167600,0,0,0,0,0,11500
627400,247500,54978200,632807200,0,0,0,0,734023900,0
382900,276600,50700,51681100,0,0,0,0,0,12500
426100,210400,52148400,685801900,0,0,0,0,783275300,0
399800,305400,51000,75196100,0,0,0,0,0,11600
455300,186500,56575400,724038100,0,0,0,0,830875200,0
455300,278200,63900,92099300,0,0,0,0,0,14800
407500,374200,56144600,661322100,0,0,0,0,760162300,0
330300,249400,48500,53910800,0,0,0,0,0,11100
392400,233100,53718300,619073300,0,0,0,0,711500100,0
399900,201000,47100,66997100,0,0,0,0,0,12600
469500,278100,50045200,601714200,0,0,0,0,691199200,0
422600,318200,63800,99068900,0,0,0,0,0,14700
342500,187000,46606800,583122700,0,0,0,0,660538200,0
379100,252300,52700,68797500,0,0,0,0,0,11400
382700,202300,53489800,680595300,0,0,0,0,778039400,0
377800,272300,49200,87406400,0,0,0,0,0,11800
355600,197400,48725400,643644400,0,0,0,0,731671800,0
339400,352000,62700,102484400,0,0,0,0,0,13000
335000,193600,41784000,579319500,0,0,0,0,651236700,0
366900,356900,56200,98319800,0,0,0,0,0,13100
356100,244800,40988300,568829700,0,0,0,0,639581500,0
400700,327600,47900,55173600,0,0,0,0,0,11700
836000,196900,56026000,658128700,0,0,0,0,759546600,0
359000,331400,42700,74369900,0,0,0,0,0,9500
378100,268400,49659200,635036400,0,0,0,0,718921200,0
325000,235700,49800,56649600,0,0,0,0,0,10700
535700,211000,72432800,783155800,0,0,0,0,898853800,0
426000,339200,80400,97939400,0,0,0,0,0,13700
494100,277200,50242200,684478600,0,0,0,0,771558700,0
459500,252400,62700,87079400,0,0,0,0,0,13400
473300,325200,64955500,661090800,0,0,0,0,760785500,0
422700,233500,62500,68267600,0,0,0,0,0,15100
