Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
592900,373300,186349900,1213718500,0,0,0,0,63562600,279400
598100,244700,102582100,942444300,0,0,0,0,14214000,4900
390100,244400,93625400,806353700,0,0,0,0,21034600,4900
371200,199100,85489100,785887400,0,0,0,0,18786600,4400
290000,203900,73216200,745917400,0,0,0,0,8047900,3800
334200,167000,69158000,623209700,0,0,0,0,8149700,5700
398500,225700,65772900,578697000,0,0,0,0,8346300,12000
375500,262800,66258600,624233600,0,0,0,0,9466500,5900
667700,417900,345476400,1873890500,0,0,0,0,100882900,270500
486100,262300,135310100,1160808600,0,0,0,0,14373900,5500
454300,312300,136015700,1198876400,0,0,0,0,18229400,5100
547800,294900,119815800,1028971200,0,0,0,0,20141800,5700
395700,208400,110263900,909112700,0,0,0,0,9924200,5000
458700,223900,113588400,942782600,0,0,0,0,11810900,5600
426500,188500,96919700,838365800,0,0,0,0,9288600,6000
426300,310800,99594300,896205700,0,0,0,0,16399600,9900
410100,322500,115355500,1020444600,0,0,0,0,13171500,10500
377700,227500,83171500,736249600,0,0,0,0,13104700,6500
319300,252300,76422400,734241300,0,0,0,0,7651300,4800
379400,169500,82240400,699735500,0,0,0,0,5745700,6000
316600,238900,80171600,717932500,0,0,0,0,13708700,4700
388800,179400,90356800,823756900,0,0,0,0,7161600,9600
365000,185400,77088200,716580400,0,0,0,0,6468300,4900
336100,177400,71856300,655620500,0,0,0,0,7508100,5700
1042600,548200,178009200,1176407600,0,0,0,0,1591406000,0
436800,303000,280100,48064800,0,0,0,0,0,176300
931500,483400,300613100,1837076400,0,0,0,0,2554650000,0
1161800,490500,321625300,2537968400,0,0,0,0,105054900,730900
690300,671500,238870500,1471506800,0,0,0,0,2052406600,0
762000,463700,227183000,1465389900,0,0,0,0,2031291400,0
536600,298500,220961900,1728781000,0,0,0,0,43692400,216600
1108300,576000,361477800,2163180600,0,0,0,0,85938500,429000
923300,684800,288888400,1849639500,0,0,0,0,88231800,345500
810900,672300,310477000,2008083800,0,0,0,0,84035800,271100
985800,567100,308485600,2016734500,0,0,0,0,104708000,393000
