Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
699800,9448800,217771733600,3668362426500,0,0,0,0,4028072681200,0
426000,550100,969200,1747427750100,0,0,0,0,0,131800
403600,8096400,212739571500,3681984340000,0,0,0,0,4042372616100,0
324000,272900,408400,1774889749800,0,0,0,0,0,85000
411400,10027600,211061278200,3627026364100,0,0,0,0,3976373820700,0
346600,235500,273400,1893374107700,0,0,0,0,0,91800
340700,22836800,210004077600,3637054305300,0,0,0,0,3988055845300,0
294600,221200,243800,1718711141300,0,0,0,0,0,84600
329400,10959800,207874336000,3654096126200,0,0,0,0,3997866319900,0
337400,298200,310000,1693137743900,0,0,0,0,0,126300
300100,12460000,203764858200,3547048611000,0,0,0,0,3886481700100,0
310700,268200,303400,1847316144300,0,0,0,0,0,94900
320500,11546400,231675682300,3895362143600,0,0,0,0,4286254692100,0
317600,329500,239600,1827675562600,0,0,0,0,0,87300
350600,12650100,236915443600,4024672795500,0,0,0,0,4417901300100,0
306500,320400,321300,1821058184600,0,0,0,0,0,104400
341300,17400900,241800842800,3975165840000,0,0,0,0,4379648420000,0
349500,403000,280900,1836462956200,0,0,0,0,0,107700
359000,12760600,236374613100,3821598221000,0,0,0,0,4218852491300,0
335800,274200,503100,1726470053600,0,0,0,0,0,98800
