Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
654600,322500,7963851519,115979002021,0,0,0,0,128930808600,0
379200,258900,669501,15868541003,0,0,0,0,0,90401
499000,285500,7639972138,121107405783,0,0,0,0,133822873799,0
350199,233000,246899,14948945996,0,0,0,0,0,75001
351199,379700,7673256513,123351559882,0,0,0,0,136060051799,0
636700,296000,341399,32117678600,0,0,0,0,0,108799
398001,317900,8841066685,137005292889,0,0,0,0,152182125700,0
369300,218100,241703,17034449801,0,0,0,0,0,92098
352700,203200,10305581264,164543271711,0,0,0,0,182039912701,0
364500,269100,269701,22283595699,0,0,0,0,0,108899
342599,239401,9210530458,140921129261,0,0,0,0,156910259200,0
323600,214900,220204,15804786201,0,0,0,0,0,92698
320700,318400,8249480734,128233633414,0,0,0,0,141385114999,0
323100,244600,209498,15544320700,0,0,0,0,0,76101
278300,235801,7299050572,125518970289,0,0,0,0,137922394700,0
338701,203299,223497,14892457400,0,0,0,0,0,77099
336800,236500,7660518292,115793766815,0,0,0,0,128400230699,0
337300,182000,224202,14746188501,0,0,0,0,0,106699
361500,232301,7307701426,114486704628,0,0,0,0,126700218600,0
312500,209500,191200,15532146104,0,0,0,0,0,88399
315600,233400,7180913764,114132929653,0,0,0,0,125797295600,0
327400,246200,195100,15461766302,0,0,0,0,0,81703
308999,249800,7232050520,115561645229,0,0,0,0,127565445100,0
320300,245500,213602,16314218302,0,0,0,0,0,75499
319500,228301,7440086062,117398719395,0,0,0,0,129559348399,0
357500,225600,200205,14592355803,0,0,0,0,0,71999
335400,275501,7541002282,115261443439,0,0,0,0,127782010200,0
302800,213400,208303,14972368295,0,0,0,0,0,76800
322600,413800,7411386390,121355646771,0,0,0,0,133311749999,0
321100,204499,246996,15685708799,0,0,0,0,0,85500
322400,437201,8174952121,126380742777,0,0,0,0,139711138401,0
363701,253400,266099,15887035400,0,0,0,0,0,84801
319500,379600,7456059728,125584948287,0,0,0,0,137635118899,0
337400,318200,190097,14683333998,0,0,0,0,0,74101
325500,260899,7661762412,114504618395,0,0,0,0,126894981401,0
460399,211700,229199,15170627202,0,0,0,0,0,80802
541000,226500,7484101162,123726030142,0,0,0,0,135839896400,0
292600,216099,222798,19675726099,0,0,0,0,0,115001
282100,227600,7572472166,115204628973,0,0,0,0,127896116500,0
328600,223700,237698,16540571301,0,0,0,0,0,78702
