Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
20600,15500,69016900,11002969200,0,0,0,0,11996720300,0
12100,12300,382500,14216107300,0,0,0,0,0,81600
18200,10800,49545500,11557785500,0,0,0,0,12214734500,0
19100,13300,452500,15778921900,0,0,0,0,0,85300
12300,12100,52234600,11069496300,0,0,0,0,11703214300,0
13200,13700,317000,23590748100,0,0,0,0,0,78500
12700,10800,34880300,11216071700,0,0,0,0,11807758000,0
13200,12400,287800,16026281800,0,0,0,0,0,75300
11200,11300,42873200,10874743600,0,0,0,0,11435091100,0
11200,11600,304300,16428122100,0,0,0,0,0,75600
15100,10900,40170400,11124525600,0,0,0,0,11703793900,0
10800,11200,191500,16119863000,0,0,0,0,0,68900
11700,12100,33356100,10863208700,0,0,0,0,11412751800,0
11400,10300,191300,16760294400,0,0,0,0,0,67300
13600,11500,36584300,11188342200,0,0,0,0,11772359200,0
9800,7700,221000,16187045700,0,0,0,0,0,80700
8000,7100,55438900,10870176400,0,0,0,0,11435741400,0
8700,7500,185600,16716713200,0,0,0,0,0,84200
9700,7800,34449600,11763469700,0,0,0,0,12355099100,0
11500,6600,194000,15678545400,0,0,0,0,0,81900
